Aménagement cycle;Aménagement cycle simplifié;Avancement;Sens de circulation vélo;Hors voirie;Nom de la commune;Création de voie pour cycle;Longueur en mètres;Date de mise à jour de la donnée;geo_shape;geo_point_2d
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;208.271314495348;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.043952189732316, 47.310636145896844], [5.042690062339737, 47.308970914580954]], ""type"": ""LineString""}";47.309803530238895, 5.043321126036027
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;55.7389400541975;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.042398223283101, 47.33400125445683], [5.042470347770506, 47.33372617426397], [5.042527960924538, 47.3335076870099]], ""type"": ""LineString""}";47.333754448320825, 5.0424630068664165
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;150.07678939234302;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.04481726194179, 47.341989146942055], [5.044774361306071, 47.34155109353381], [5.044685241450197, 47.34064215663877]], ""type"": ""LineString""}";47.34131565015884, 5.044751268346143
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Fontaine-lès-Dijon;;60.4667837966304;2021-02-18T02:00:00+01:00;"{""coordinates"": [[5.020007885186993, 47.34336241389974], [5.0195230204870525, 47.34341416704641], [5.019214078609575, 47.343425834866345]], ""type"": ""LineString""}";47.34340059458235, 5.019611448831798
Bande cyclable;Bande cyclable;Réalisé;Deux;NON;Dijon;;24.5557567900075;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.037411791841989, 47.31676558914355], [5.037735942667993, 47.316779671457006]], ""type"": ""LineString""}";47.31677263030028, 5.0375738672549915
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;NON;160.17340803741402;2021-05-21T04:00:00+02:00;"{""coordinates"": [[5.0470202700728946, 47.31150662388584], [5.04803214221337, 47.31024079618008]], ""type"": ""LineString""}";47.310873710032965, 5.047526206143132
Voie partagée cycles/piétons;Voie partagée cycles/piétons;Réalisé;Un;NON;Marsannay-la-Côte;;104.93003639111201;2021-02-05T02:00:00+01:00;"{""coordinates"": [[4.999737235669032, 47.27834266916587], [4.998425834621139, 47.27803538079167]], ""type"": ""LineString""}";47.27818902497878, 4.999081535145086
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;80.77681213011539;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.0324420030951496, 47.32316176570374], [5.0325904513810515, 47.3228980287917], [5.032776810972511, 47.32277218399821], [5.0331076684747105, 47.32263095687825]], ""type"": ""LineString""}";47.32284740779732, 5.032731382393289
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;180.74463480527402;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.04337871376952, 47.318469296891976], [5.044414150914981, 47.319149763255616], [5.044823770949313, 47.319446187121926], [5.045012724984118, 47.319648774124495]], ""type"": ""LineString""}";47.31903281241495, 5.044217157416303
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Dijon;;38.4793619845756;2021-01-05T02:00:00+01:00;"{""coordinates"": [[5.046628209681709, 47.339508517278595], [5.047136044616077, 47.33948315749708]], ""type"": ""LineString""}";47.33949583738784, 5.046882127148893
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;64.0100312842448;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.048020727423619, 47.320449621892536], [5.04760967978451, 47.31994622796666]], ""type"": ""LineString""}";47.3201979249296, 5.047815203604065
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;NON;49.040729937573296;2021-08-30T04:00:00+02:00;"{""coordinates"": [[5.04464131846952, 47.32217947664833], [5.045256325837976, 47.32203905727319]], ""type"": ""LineString""}";47.32210926696076, 5.0449488221537475
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;NON;32.9466299900308;2021-08-30T04:00:00+02:00;"{""coordinates"": [[5.0436275119956395, 47.322351734213065], [5.044061164550488, 47.32232202856625]], ""type"": ""LineString""}";47.32233688138966, 5.043844338273065
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;111.94552743899101;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.048246502690543, 47.32141006423308], [5.0483512654978275, 47.32107809901034], [5.048020727423619, 47.320449621892536]], ""type"": ""LineString""}";47.32092183296379, 5.048223131731251
Double sens cyclable;Double sens cyclable;Réalisé;Inverse;NON;Dijon;;133.05104391939201;2021-02-16T02:00:00+01:00;"{""coordinates"": [[5.037844304309386, 47.32455266388112], [5.037253689315417, 47.3234252192971]], ""type"": ""LineString""}";47.32398894158911, 5.037548996812402
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;35.4244519027465;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.0571684792434, 47.292790507134555], [5.057410927261973, 47.29251786732123]], ""type"": ""LineString""}";47.292654187227896, 5.057289703252687
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;113.29512119703301;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.060681818772563, 47.28813418273473], [5.060011189863716, 47.28876500350591], [5.059900462156625, 47.28899347844418]], ""type"": ""LineString""}";47.28854246355156, 5.060262057340137
Couloir Bus/Vélo;Couloir Bus;Réalisé;Un;NON;Dijon;;36.1973812564842;2021-02-12T02:00:00+01:00;"{""coordinates"": [[5.051626699352215, 47.305224873061604], [5.051794854608376, 47.30519757661535], [5.052100492100591, 47.305190394256954]], ""type"": ""LineString""}";47.30520015425783, 5.051862904087882
Couloir Bus/Vélo;Couloir Bus;Réalisé;Un;NON;Dijon;;65.2875924712345;2021-02-18T02:00:00+01:00;"{""coordinates"": [[5.039195112342369, 47.32660922310308], [5.038387805689001, 47.32640040894693]], ""type"": ""LineString""}";47.32650481602501, 5.038791459015685
Piste cyclable bidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Chenôve;;50.4288294947444;2021-02-01T02:00:00+01:00;"{""coordinates"": [[5.001170465107767, 47.28567434651037], [5.000514843364866, 47.28575655069969]], ""type"": ""LineString""}";47.28571544860503, 5.000842654236316
Bande cyclable + double sens;Bande cyclable;Réalisé;Deux;NON;Fontaine-lès-Dijon;;75.47414676054969;2021-02-18T02:00:00+01:00;"{""coordinates"": [[5.032130116911879, 47.33936409723849], [5.03184290430525, 47.33933029073895], [5.031426892418853, 47.33928598406939], [5.03114610923505, 47.339248369604796]], ""type"": ""LineString""}";47.339307825758056, 5.031637912528239
Bande cyclable;Bande cyclable;Réalisé;Un;NON;Dijon;;92.41495582344879;2021-02-22T02:00:00+01:00;"{""coordinates"": [[5.0154729325537755, 47.313618307083594], [5.016683128150887, 47.313735241629814]], ""type"": ""LineString""}";47.31367677435671, 5.016078030352331
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;174.37382516459903;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.019363027416897, 47.29809659444238], [5.019293029821783, 47.2979705236548], [5.018546871149997, 47.29662959777041]], ""type"": ""LineString""}";47.297363066120916, 5.018955003229931
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;63.7352660157624;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.053338343677597, 47.29757755067164], [5.053009093316824, 47.298105307181835]], ""type"": ""LineString""}";47.29784142892674, 5.05317371849721
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;75.37823806723;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.0519871025735466, 47.29989797691798], [5.05234695653883, 47.299265655712304]], ""type"": ""LineString""}";47.29958181631513, 5.0521670295561885
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;51.9483358009667;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.02001178095179, 47.29925892198272], [5.01976578569891, 47.29882262091875]], ""type"": ""LineString""}";47.299040771450734, 5.019888783325349
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;19.8463384242535;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.017991030429175, 47.29580178533813], [5.017881194386381, 47.29563965113632]], ""type"": ""LineString""}";47.29572071823722, 5.017936112407778
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;42.1179572280043;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.02001178095179, 47.29925892198272], [5.0201918552512, 47.29961743687516]], ""type"": ""LineString""}";47.29943817942894, 5.0201018181014945
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;59.5630646025706;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.015705988476246, 47.29241121776739], [5.015380580637612, 47.29192330790023]], ""type"": ""LineString""}";47.29216726283381, 5.015543284556929
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;132.20993083202902;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.055821639017085, 47.29443433967932], [5.054906547466346, 47.2954476466761]], ""type"": ""LineString""}";47.29494099317772, 5.055364093241716
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;87.9009603229111;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.050817846798113, 47.30141365982216], [5.0514126724606685, 47.300734336773544]], ""type"": ""LineString""}";47.30107399829785, 5.051115259629391
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;53.4644399791113;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.053009093316824, 47.298105307181835], [5.052753195500048, 47.29855362587039]], ""type"": ""LineString""}";47.29832946652611, 5.0528811444084365
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;34.0145953868336;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.018360089761853, 47.29635125794501], [5.018546871149997, 47.29662959777041]], ""type"": ""LineString""}";47.29649042785771, 5.018453480455925
Couloir Bus/Vélo;Couloir Bus;Réalisé;Deux;NON;Chenôve;;472.84206228061703;2021-11-01T02:00:00+01:00;"{""coordinates"": [[5.015243845419264, 47.29171904230395], [5.014412320302877, 47.290469232868766], [5.013117913900047, 47.288527110227726], [5.0126645880401615, 47.28784456536848]], ""type"": ""LineString""}";47.28978187633692, 5.013954107463263
Piste cyclable unidirectionnelle;Piste cyclable;Réalisé;Deux;NON;Longvic;;29.9319009668614;2022-09-01T04:00:00+02:00;"{""coordinates"": [[5.0541588082699525, 47.29634266083612], [5.053969307711587, 47.29657903843182]], ""type"": ""LineString""}";47.296460849633974, 5.05406405799077
