Localisation (adresse);Nombre d'arceaux;Type d'attache;Observations;Commune;Année;Type;Nombre d'arceaux supplémentaires;geo_shape;geo_point_2d
6 Bd Gabriel;15;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.063423333347272, 47.313221666990096], ""type"": ""Point""}";47.313221666990096, 5.063423333347272
Faculté;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0639016671850445, 47.31283999997864], ""type"": ""Point""}";47.31283999997864, 5.0639016671850445
Faculté;40;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0645276178605485, 47.314504713398065], ""type"": ""Point""}";47.314504713398065, 5.0645276178605485
Faculté;12;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.064698332892353, 47.314833333187046], ""type"": ""Point""}";47.314833333187046, 5.064698332892353
;8;;un rateau vélo - 17 vélos;Quetigny;2019;Existant;;"{""coordinates"": [5.1053919275207775, 47.31379165036393], ""type"": ""Point""}";47.31379165036393, 5.1053919275207775
;4;;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.0440100430664145, 47.33604863194692], ""type"": ""Point""}";47.33604863194692, 5.0440100430664145
;2;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.044163729902719, 47.336635832834006], ""type"": ""Point""}";47.336635832834006, 5.044163729902719
56 rue de Jouvence;6;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.038964496402807, 47.33282218984626], ""type"": ""Point""}";47.33282218984626, 5.038964496402807
;8;;;Quetigny;2019;Existant;;"{""coordinates"": [5.11174634285598, 47.31384260042861], ""type"": ""Point""}";47.31384260042861, 5.11174634285598
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.109870563646965, 47.313914809285144], ""type"": ""Point""}";47.313914809285144, 5.109870563646965
;2;;;Quetigny;;Existant;;"{""coordinates"": [5.1099873489048955, 47.31393068748484], ""type"": ""Point""}";47.31393068748484, 5.1099873489048955
;3;;un repose guidon - 6 vélos;Quetigny;;Existant;;"{""coordinates"": [5.102519057299755, 47.31820227309524], ""type"": ""Point""}";47.31820227309524, 5.102519057299755
;11;;;Quetigny;;Existant;;"{""coordinates"": [5.091075057527654, 47.31274581801778], ""type"": ""Point""}";47.31274581801778, 5.091075057527654
;26;;;Quetigny;;Existant;;"{""coordinates"": [5.088080633257145, 47.317342921815765], ""type"": ""Point""}";47.317342921815765, 5.088080633257145
;3;;;Quetigny;;Existant;;"{""coordinates"": [5.111326922624929, 47.313821338524065], ""type"": ""Point""}";47.313821338524065, 5.111326922624929
;5;;;Quetigny;;Existant;;"{""coordinates"": [5.123102019022872, 47.31181369705396], ""type"": ""Point""}";47.31181369705396, 5.123102019022872
AV Gustave Eiffel église ST Chantal;3;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.023479597952569, 47.315430737692374], ""type"": ""Point""}";47.315430737692374, 5.023479597952569
Bd Gabriel/rue de la Planchette;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.0642086830771404, 47.315541577848556], ""type"": ""Point""}";47.315541577848556, 5.0642086830771404
13 rue Jean Jean Cornu;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.039809391936499, 47.331878724185465], ""type"": ""Point""}";47.331878724185465, 5.039809391936499
rue marius Chanteur;5;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.063833473977945, 47.33659078849198], ""type"": ""Point""}";47.33659078849198, 5.063833473977945
Gymnase Epirey;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.064475049546544, 47.33675264966998], ""type"": ""Point""}";47.33675264966998, 5.064475049546544
Stade Epirey;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.065510000429993, 47.33740666674762], ""type"": ""Point""}";47.33740666674762, 5.065510000429993
51 rue d'York;1;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.06023611715139, 47.33505425213854], ""type"": ""Point""}";47.33505425213854, 5.06023611715139
35 Bd des Martyrs de la Résistance;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0610127507392475, 47.334738065091656], ""type"": ""Point""}";47.334738065091656, 5.0610127507392475
rue Branly square Lavoisier;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.061442604916962, 47.33240440998702], ""type"": ""Point""}";47.33240440998702, 5.061442604916962
25 rue Félix Trutat;3;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.051956959623062, 47.32457787869017], ""type"": ""Point""}";47.32457787869017, 5.051956959623062
12 place du 30 Octobre;3;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.051914033114991, 47.32212978264041], ""type"": ""Point""}";47.32212978264041, 5.051914033114991
Av Docteur petitjean;6;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.072254137993475, 47.30755184340326], ""type"": ""Point""}";47.30755184340326, 5.072254137993475
31 place ST Michel;14;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.046056240316344, 47.32131692689532], ""type"": ""Point""}";47.32131692689532, 5.046056240316344
;9;;Scellés;Dijon;2023;Existant;;"{""coordinates"": [5.045969964070694, 47.32115475057878], ""type"": ""Point""}";47.32115475057878, 5.045969964070694
12 rue Pelletier de Chambure;13;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.050270531325902, 47.32079881686772], ""type"": ""Point""}";47.32079881686772, 5.050270531325902
11 place Wilson;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.042458151117876, 47.31590327579026], ""type"": ""Point""}";47.31590327579026, 5.042458151117876
Faculté;8;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.065913333691495, 47.31195499960456], ""type"": ""Point""}";47.31195499960456, 5.065913333691495
2 rue de la Synagogue;4;Boulonnés;boulonnés;Dijon;2023;Existant;;"{""coordinates"": [5.0437460295667735, 47.3172076375493], ""type"": ""Point""}";47.3172076375493, 5.0437460295667735
place Wilson / Chabot Charny;4;Scellés;scellés;Dijon;2023;Existant;;"{""coordinates"": [5.043239648783604, 47.316912223957196], ""type"": ""Point""}";47.316912223957196, 5.043239648783604
4 rue Févret;7;Boulonnés;;Dijon;2023;Existant;;"{""coordinates"": [5.042377685182237, 47.31656517582262], ""type"": ""Point""}";47.31656517582262, 5.042377685182237
rue Jean Baptiste Baudin;5;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.048083205511716, 47.31755928928305], ""type"": ""Point""}";47.31755928928305, 5.048083205511716
rue des Planchettes;8;Scellés;;Dijon;2023;Existant;;"{""coordinates"": [5.061207210789331, 47.315667031774], ""type"": ""Point""}";47.315667031774, 5.061207210789331
